Crozet,1170,1862
Seyssel,1420,942
Beynost,1700,4475
Versonnex,1210,2144
Saint-Laurent-sur-Saône,1620,1749
Artemare,1510,1126
Montracol,1310,967
Parves,1300,360
Pugieu,1510,168
Virieu-le-Grand,1510,1156
Saint-Rémy,1310,906
Rancé,1390,641
Grièges,1290,1899
Grand-Corent,1250,161
Outriaz,1430,256
Montagnieu,1470,495
Champagne-en-Valromey,1260,765
Ambérieux-en-Dombes,1330,1616
La Boisse,1120,2928
Parcieux,1600,1095
Saint-Didier-d'Aussiat,1340,863
Saint-Nizier-le-Bouchoux,1560,703
Ars-sur-Formans,1480,1367
Anglefort,1350,994
Corlier,1110,124
Ferney-Voltaire,1210,8025
Saint-Maurice-de-Rémens,1500,709
Châtillon-la-Palud,1320,1562
Saint-Sulpice,1340,142
Saint-Bois,1300,123
Virignin,1300,855
Prémillieu,1110,36
Genouilleux,1090,609
Reyssouze,1190,929
Collonges,1550,1897
Saint-Germain-de-Joux,1130,480
Brégnier-Cordon,1300,832
Saint-Martin-le-Châtel,1310,790
Marignieu,1300,148
Neyrolles,1130,637
Sulignat,1400,569
Bény,1370,724
Injoux-Génissiat,1200,1055
Chanay,1420,617
Châtillon-sur-Chalaronne,1400,4922
Farges,1550,854
Saint-Alban,1450,163
Curtafond,1310,702
Viriat,1440,6006
Belleydoux,1130,321
Bâgé-le-Châtel,1380,796
Sainte-Olive,1330,303
Saint-Genis-sur-Menthon,1380,408
Domsure,1270,473
Chavannes-sur-Suran,1250,644
Priay,1160,1488
Peyrieu,1300,821
Lalleyriat,1130,239
Sergy,1630,1977
Saint-Martin-du-Frêne,1430,1077
Saint-Maurice-de-Beynost,1700,3865
Servas,1240,1184
Cuzieu,1300,407
Jayat,1340,1049
Lavours,1350,148
Chevroux,1190,933
Pollieu,1350,157
Béligneux,1360,2905
Brénaz,1260,92
Bénonces,1470,275
Saint-Jean-le-Vieux,1640,1609
Beauregard,1480,870
Oyonnax,1100,22650
Mionnay,1390,2077
Germagnat,1250,145
Coligny,1270,1154
Simandre-sur-Suran,1250,650
L'Abergement-Clémenciat,1400,784
Lescheroux,1560,683
Ornex,1210,3531
Dommartin,1380,841
Lompnas,1680,149
Bettant,1500,724
Armix,1510,20
Feillens,1570,3115
Chavornay,1510,199
Challex,1630,1225
Vongnes,1350,74
Magnieu,1300,419
Groissiat,1810,1143
Dompierre-sur-Chalaronne,1400,389
Montluel,1120,6999
Le Poizat,1130,422
Hostiaz,1110,82
Montanges,1200,330
Sainte-Julie,1150,889
Bey,1290,245
Sonthonnax-la-Montagne,1580,320
Mézériat,1660,2072
Bellignat,1810,3537
Saint-Marcel,1390,1212
Belley,1300,8755
Corbonod,1420,1176
Neyron,1700,2472
Saint-Paul-de-Varax,1240,1551
Pressiat,1370,224
Chazey-Bons,1300,744
Servignat,1560,160
Marlieux,1240,887
Andert-et-Condon,1300,340
Hautecourt-Romanèche,1250,773
Crottet,1620,1722
Druillat,1160,1134
Dompierre-sur-Veyle,1240,1226
Pérouges,1800,1204
Rignieux-le-Franc,1800,950
Giron,1130,162
Cerdon,1450,741
Cruzilles-lès-Mépillat,1290,818
Lélex,1410,225
Lhôpital,1420,59
Ségny,1170,1649
Cheignieu-la-Balme,1510,157
Saint-Vulbas,1150,957
Échallon,1130,772
Le Montellier,1800,244
Martignat,1810,1604
Ceyzériat,1250,2738
Montcet,1310,665
Vonnas,1540,2790
Buellas,1310,1669
Saint-Bénigne,1190,1161
Chevillard,1430,162
Bouligneux,1330,309
Contrevoz,1300,539
Champdor,1110,464
Port,1460,847
Surjoux,1420,78
Champfromier,1410,677
Vésines,1570,91
Seillonnaz,1470,138
Varambon,1160,521
Le Grand-Abergement,1260,109
Jassans-Riottier,1480,5976
Asnières-sur-Saône,1570,73
Condamine,1430,404
Lhuis,1680,854
Romans,1400,587
Pizay,1120,777
Certines,1240,1445
Ruffieu,1260,202
Meximieux,1800,7268
Saint-Rambert-en-Bugey,1230,2164
Ambronay,1500,2362
Cize,1250,170
Saint-Germain-sur-Renon,1240,236
Villette-sur-Ain,1320,673
Dagneux,1120,4099
Boissey,1190,288
Salavre,1270,284
Brion,1460,517
Labalme,1450,204
Sauverny,1220,1078
Montceaux,1090,1164
Brénod,1110,544
Misérieux,1600,1762
Prévessin-Moëns,1280,5980
Lent,1240,1328
Marsonnas,1340,1005
Manziat,1570,1924
Trévoux,1600,6730
Bellegarde-sur-Valserine,1200,11790
Bourg-en-Bresse,1000,40088
Confort,1200,525
Saint-Denis-lès-Bourg,1000,5405
Massignieu-de-Rives,1300,608
Saint-Étienne-sur-Chalaronne,1140,1468
Bohas-Meyriat-Rignat,1250,811
Chevry,1170,1235
Fareins,1480,2137
Gorrevod,1190,799
Valeins,1140,88
Vieu-d'Izenave,1430,693
Toussieux,1600,769
Arbigny,1190,399
Malafretaz,1340,952
Samognat,1580,718
Cras-sur-Reyssouze,1340,1256
Messimy-sur-Saône,1480,1209
Pougny,1550,802
Sandrans,1400,524
Pont-de-Veyle,1290,1593
Mijoux,1170,379
Saint-Jean-de-Gonville,1630,1496
Saint-André-le-Bouchoux,1240,316
Chaneins,1990,820
Joyeux,1800,223
Tramoyes,1390,1674
Biziat,1290,797
Izenave,1430,164
Belmont-Luthézieu,1260,514
Arbent,1100,3476
Sutrieu,1260,235
Serrières-de-Briord,1470,1174
Aranc,1110,302
Chaley,1230,127
Curciat-Dongalon,1560,456
Loyettes,1360,2645
Gex,1170,10372
Courtes,1560,266
Béréziat,1340,445
Lapeyrouse,1330,292
Apremont,1100,363
Villieu-Loyes-Mollon,1800,3095
Leyment,1150,1273
Étrez,1340,803
Gercy,2140,295
Villemontoire,2210,210
Brancourt-le-Grand,2110,619
Licy-Clignon,2810,87
Proisy,2120,318
Chambry,2000,718
Mont-Saint-Jean,2360,80
Morgny-en-Thiérache,2360,110
Mesnil-Saint-Laurent,2720,450
Annois,2480,383
Brunehamel,2360,538
Audignicourt,2300,102
Montigny-sur-Crécy,2270,309
Lor,2190,142
